;input;filtered;denoisedF;denoisedR;merged;nonchim
OEWI22MLEB9;41834;31533;31098;31252;29827;29422
OEWI22MLFL1;34967;26108;25479;25893;23936;23295
OEWI22MLFL5;47965;36491;35451;36041;32764;31857
OEWI22MLFL7;40533;31617;31299;31440;30236;29391
OEWI22SSEB1;45455;35384;34757;35179;33011;31366
OEWI22SSEB5;36727;28791;28389;28603;27273;26259
OEWI22SSEB7;47475;36934;35629;36393;32698;31440
OEWI22SSEB9;36296;28983;28540;28801;27481;26493
OEWI22SSFL1;25440;20276;19892;20118;19011;18324
OEWI22SSFL5;30850;24576;24355;24478;23674;22773
OEWI22SSFL8;47423;35089;34691;34910;33727;32960
WFSP22BBEB;61403;44851;38078;42710;27163;24577
WFSP22BBFL;47180;35998;31524;34528;23343;19328
WFSP22MGEB;21797;17282;15089;16727;10806;9925
WFSP22MGFL;61824;47390;40634;45517;29538;24624
WFSP22MLEB;21322;15645;13295;14945;10034;8169
WFSP22MLFL;45762;32802;28328;31484;21443;17095
WFSP22SSEB;42986;31194;26233;29617;18515;14913
WFSP22SSFL;48719;35403;30245;34050;22751;18048
WFSU21MLFL;48643;34031;27782;32240;20380;17490
WFSU21SSFL;12563;8763;7388;8447;5641;4839
WFSU22MLEB;30656;21899;18614;20949;14038;11497
WFWI22BBEB;20079;16085;12946;15161;8187;7018
WFWI22BBFL;60893;48619;39160;45389;27068;24639
WFWI22MGFL;9146;7069;5738;6703;3928;3579
WFWI22SSFL;60791;46912;37552;43411;26217;24618
