;input;filtered;denoisedF;denoisedR;merged;nonchim
GCSP22BBEB1;33516;26571;26397;26509;25949;25360
GCSP22BBEB3;56419;45061;44506;44907;43215;40932
GCSP22BBEB5;37299;30596;30501;30533;30132;28938
GCSP22BBEB7;32991;26658;26543;26601;26212;25373
GCSP22BBEB9;39505;32472;32105;32385;31453;30797
GCSP22BBFL1;34455;28145;27990;28082;27553;26754
GCSP22BBFL2;37462;30248;29935;30148;29286;28710
GCSP22MLEB1;51510;42698;42152;42511;40843;37652
GCSP22MLEB3;47135;39011;38542;38887;37620;35790
GCSP22MLEB5;29871;24661;24488;24594;24162;23824
GCSP22MLEB7;47068;38519;38134;38395;37010;34766
GCSP22MLFL1;28919;23620;23424;23545;23045;22730
GCSP22MLFL3;63523;51035;50481;50864;48917;45486
GCSP22MLFL5;48556;39375;39266;39338;38835;37882
GCSP22SSEB1;34862;28025;27883;27963;27457;26708
GCSP22SSEB3;41680;33590;33488;33524;33035;32109
GCSP22SSEB5;42523;34798;34638;34735;34196;33099
GCSP22SSEB7;36429;29664;29277;29486;28150;26685
GCSP22SSFL1;33089;25906;25774;25818;25419;25136
GCSP22SSFL3;76917;61656;60449;61428;57870;56025
GCSP22SSFL5;50167;40688;40367;40565;39605;38907
GCSU21BBFL2;67348;54038;48398;52523;41392;37683
GCSU21BBFL3;40449;32148;31670;31987;30625;29753
GCSU21MLFL1;35811;27913;26594;27577;24749;22762
GCSU21MLFL2;45590;36588;35684;36236;33446;31094
GCSU21SSFL1;63465;49517;47178;48882;42847;40614
GCSU21SSFL3;44897;34422;33788;34180;32311;31159
GCSU22MLEB1;30016;24255;24076;24178;23666;23223
GCSU22MLEB2;39953;31936;31596;31811;30780;30236
GCSU22MLEB3;27483;21861;21696;21789;21335;20978
GCSU22MLEB4;38355;30350;30030;30225;29293;28786
GCSU22MLEB5;37776;29384;29236;29339;28891;28386
GCSU22MLEB6;26265;20641;20481;20565;20090;19601
GCSU22MLEB7;29067;23429;23323;23385;23047;22438
GCWI22BBEB1;55059;40505;40104;40305;38911;37980
GCWI22BBFL1;38186;29316;28923;29097;27942;27092
GCWI22BBFL2;55932;44066;43098;43667;41332;38515
GCWI22MLEB1;32533;26076;25708;25905;24802;24272
GCWI22MLFL1;42804;34360;33471;34032;31487;30505
GCWI22MLFL2;28813;22640;22358;22511;21580;21091
GCWI22SSEB1;35786;26205;25653;25995;24386;24072
GCWI22SSEB2;21451;17003;16936;16938;16609;16478
GCWI22SSEB3;40784;32430;32234;32304;31620;30828
GCWI22SSFL1;42097;34536;34078;34353;32878;31427
GCWI22SSFL2;50711;40794;39593;40376;37349;34834
OESP22BBEB1;33700;27519;27363;27442;26945;26006
OESP22BBEB3;50059;40812;40486;40666;39543;37769
OESP22BBEB7;51647;42312;41977;42159;40959;39692
OESP22BBEB8;31608;25583;25487;25539;25088;24281
OESP22BBFL2;46758;37275;37180;37215;36648;35341
OESP22BBFL3;44259;34340;34179;34266;33745;32594
OESP22BBFL5;37712;31318;31188;31261;30784;29933
OESP22MGEB1;47428;36269;36010;36166;35353;34524
OESP22MGEB3;46359;37561;37070;37403;36097;34852
OESP22MGEB5;57125;46402;45637;46087;43821;42542
OESP22MGEB7;69787;56441;55870;56260;54344;52563
OESP22MGFL1;57240;45560;45342;45495;44456;43271
OESP22MGFL3;50009;39390;38903;39211;37753;36844
OESP22MGFL5;56255;45142;45012;45051;44276;43230
OESP22MLEB1;44369;36230;35808;36071;34823;33868
OESP22MLEB2;47530;38320;37783;38118;36451;35341
OESP22MLEB3;52664;41852;40708;41570;38428;36576
OESP22MLFL1;43858;32383;32006;32258;31140;30390
OESP22MLFL2;41773;33933;33760;33876;33365;32551
OESP22MLFL3;44213;35640;35422;35554;34759;33928
OESP22MLFL4;40866;32381;31994;32235;31144;30650
OESP22SSEB1;46305;37903;37614;37778;36786;35900
OESP22SSEB2;54345;44756;44475;44681;43518;41783
OESP22SSEB3;60506;48429;48053;48287;46833;44731
OESP22SSEB4;50080;40813;40465;40709;39433;37748
OESP22SSFL1;47884;38859;38740;38825;38303;37389
OESP22SSFL3;51368;42099;41891;42006;41156;39807
OESP22SSFL5;64059;52795;52409;52622;51356;48472
OESU21BBFL1;40327;32001;31767;31853;31108;30302
OESU21BBFL4;66457;52782;51982;52516;50277;48618
OESU21MGFL2;27245;21196;20990;21108;20477;20104
OESU21MGFL6;34406;27542;27429;27480;26995;26561
OESU21MLEB1;60;36;31;33;27;24
OESU21MLEB2;65403;43018;42001;42704;40394;38948
OESU21MLEB3;46494;34577;34139;34396;33158;32726
OESU21MLFL1;74571;58640;57477;58323;54310;50298
OESU21MLFL2;60129;46704;45241;46291;41710;37806
OESU21SSFL2;58419;46846;46464;46620;45108;44303
OESU21SSFL6;46926;36868;36237;36671;34927;34004
OESU22MLEB1;40907;31031;30604;30840;29509;28943
OESU22MLEB2;30437;22433;22258;22375;21837;21491
OESU22MLEB3;22007;16590;16505;16549;16248;15928
OESU22MLEB4;56628;41374;40631;41126;39095;38475
OEWI22BBEB1;34578;25211;24818;25016;23932;23395
OEWI22BBEB4;24988;18701;18309;18592;17446;16741
OEWI22BBEB5;45362;36012;35463;35778;34047;33070
OEWI22BBEB7;34174;27674;27346;27538;26492;25779
OEWI22BBFL1;39084;30684;30063;30447;28596;27431
OEWI22BBFL3;38430;30011;29111;29593;26892;25892
OEWI22BBFL7;40981;31522;30750;31324;28836;27142
OEWI22MGEB1;33325;24142;23882;23953;23007;22697
OEWI22MGEB3;35759;25697;25334;25531;24305;23542
OEWI22MGEB5;34654;25994;25722;25789;24846;24345
OEWI22MGEB9;39828;29929;29481;29703;28322;27567
OEWI22MGFL1;61946;47033;44852;46203;40435;38890
OEWI22MGFL3;64870;48851;46839;48208;42505;40595
OEWI22MGFL7;38027;28450;27933;28195;26542;25799
OEWI22MLEB1;38704;30303;29834;30130;28648;27739
OEWI22MLEB3;42906;32987;32410;32714;30729;29916
OEWI22MLEB7;35618;27951;27619;27774;26783;26454
